sitename,views,hits,created_at,last_updated,tags
cinni,8515926,58768581,"Mon, 24 Sep 2018 23:25:49 -0000","Tue, 02 Apr 2024 03:26:26 -0000","['pixels', 'art', 'personal']"
fauux,47772385,136469021,"Sat, 29 Jun 2013 15:42:11 -0000","Wed, 03 Apr 2024 14:02:18 -0000","['anime', 'art', 'music', 'pixel', 'lain']"
districts,1395467,8805449,"Sun, 14 May 2017 22:40:23 -0000","Tue, 19 Sep 2023 13:27:58 -0000","['index', 'neocities', 'directory']"
sugarforbrains,1877484,10812636,"Thu, 06 Jan 2022 21:14:27 -0000","Tue, 16 Apr 2024 18:30:30 -0000","['art', 'rainbow', 'personal']"
melonking,5946695,22998496,"Tue, 19 Jul 2016 13:09:14 -0000","Tue, 16 Apr 2024 00:13:05 -0000","['videogames', 'art', 'music', '90s', '3d']"
uncannyvalley,2035403,6498428,"Sat, 14 Aug 2021 20:04:50 -0000","Mon, 15 Apr 2024 11:45:29 -0000","['ocs', 'art', 'alternative', 'comics', 'games']"
anlucas,7011124,131015994,"Sat, 23 Nov 2013 02:24:43 -0000","Fri, 24 Nov 2023 01:39:57 -0000","['html', '90s', '2000s', 'fireplace', 'art']"
odditycommoddity,1048940,9247566,"Sat, 22 Jan 2022 18:29:12 -0000","Fri, 22 Mar 2024 04:45:06 -0000","['art', 'personal', 'groovy', 'kidcore']"
mebious,3472465,10595111,"Sat, 29 Jun 2013 15:26:26 -0000","Sat, 23 Mar 2019 09:52:43 -0000","['lain', 'serial', 'experiments', 'mebious', 'hacking']"
shishka,2555493,20328551,"Sat, 27 Oct 2018 16:26:33 -0000","Tue, 16 Apr 2024 12:31:14 -0000","['videogames', 'blinkies', 'graphics', 'art', 'anime']"
dokodemo,6538961,43784260,"Thu, 08 Oct 2020 00:20:47 -0000","Wed, 20 Mar 2024 14:59:42 -0000","['2000s', 'videogames', 'personal', '90s', 'music']"
plasticdino,5994907,45529695,"Mon, 20 May 2019 15:58:13 -0000","Sun, 14 Apr 2024 20:56:44 -0000","['rainbow', 'art', 'graphics', 'cute']"
